,post_id,time,likes,comments,shares
98,2990242621028691,2019-11-27 18:00:01,325,13,0
99,2990238094362477,2019-11-25 18:00:00,358,8,0
100,2979858288733791,2019-11-22 17:00:30,572,10,0
101,2980097768709843,2019-11-21 15:17:38,669,80,0
102,2960743060645314,2019-11-20 12:00:05,1810,1495,0
103,2975111732541780,2019-11-19 18:00:01,629,11,21
104,2975442999175320,2019-11-19 17:00:53,1760,1158,0
105,2963784433674510,2019-11-18 12:00:39,2110,75,84
106,2972561092796844,2019-11-18 09:26:11,567,10,0
107,2966235093429444,2019-11-15 18:44:53,2795,48,0
108,2958967460822874,2019-11-15 12:00:15,2353,1513,0
109,2963703560349264,2019-11-14 18:00:01,365,6,0
110,2960654187320868,2019-11-14 12:00:54,468,8,0
111,2958733744179579,2019-11-13 19:00:53,1074,810,0
112,2960923543960599,2019-11-13 18:00:54,630,189,0
113,2958884947497792,2019-11-12 19:00:48,588,7,0
114,2949050308481256,2019-11-08 13:28:58,506,13,9
115,2944559535597000,2019-11-06 14:40:46,428,84,0
116,2940163179369969,2019-11-04 18:00:18,926,62,0
117,2933207853398835,2019-11-01 18:00:00,2120,58,0
118,2932664230119864,2019-11-01 14:00:37,1596,57,0
119,2930926076960346,2019-10-31 18:00:55,369,5,0
120,2928011773918443,2019-10-30 18:00:30,1152,32,0
121,2923683361017951,2019-10-29 12:00:22,738,23,26
122,2915876578465296,2019-10-28 12:00:56,4757,4969,0
123,2916186038434350,2019-10-25 19:00:56,736,20,0
124,2913347115384909,2019-10-24 19:00:50,450,7,0
125,2910678928985061,2019-10-23 15:07:07,523,4,0
126,2890772104309077,2019-10-23 12:00:04,606,13,0
127,2905681309484823,2019-10-22 12:00:33,6908,35,0
128,2906221732764114,2019-10-21 19:00:03,802,11,0
129,2894011050651849,2019-10-18 18:00:01,586,16,0
130,2896750847044536,2019-10-18 11:00:00,2866,101,171
131,2898360510216903,2019-10-18 10:02:07,295,6,0
132,2896240493762238,2019-10-17 17:00:00,420,5,0
133,2893616427357978,2019-10-16 12:00:00,1718,88,0
134,2888670704519217,2019-10-14 18:00:01,891,42,0
135,2883504855035802,2019-10-12 11:26:37,454,25,0
136,2864062696980018,2019-10-10 07:00:00,710,18,0
137,2872534239466197,2019-10-09 15:10:00,2564,1801,0
138,2866314643421490,2019-10-04 18:10:00,547,19,0
139,2829289750457313,2019-10-04 17:00:01,418,7,0
140,2861665840553037,2019-10-02 12:00:00,584,19,0
141,2860506680668953,2019-10-01 21:46:46,1257,893,534
142,2829267143792907,2019-10-01 17:00:00,336,4,0
143,2859739357412352,2019-10-01 13:00:08,1874,79,67
144,2856046231114998,2019-09-29 19:16:22,488,16,0
145,2813030468749908,2019-09-28 09:00:01,397,6,0
146,2851402998245988,2019-09-27 17:00:00,1655,37,0
147,2850903978295890,2019-09-27 09:38:58,238,1,0
148,2844654262254195,2019-09-27 09:00:00,4204,199,0
149,2847515418634746,2019-09-25 21:22:00,274,7,0
150,2844385928947695,2019-09-25 00:00:02,1082,39,0
151,2845001428886145,2019-09-24 17:53:47,16804,608,0
152,2798339930218962,2019-09-24 17:00:00,285,4,0
153,2844422048944083,2019-09-24 10:14:18,404,10,0
154,2844403548945933,2019-09-24 10:02:12,372,38,0
155,2835545759831712,2019-09-23 12:00:00,1771,71,0
156,2838144219571866,2019-09-21 14:09:37,175,1,0
157,2835754073144214,2019-09-20 19:00:02,327,4,0
158,2798255450227410,2019-09-20 17:00:00,364,3,0
159,2827140067338948,2019-09-19 12:00:00,403,12,0
160,2831773666875588,2019-09-18 16:46:38,267,8,0
161,2771047189614903,2019-09-17 17:00:00,319,8,0
162,2827153034004318,2019-09-17 12:00:00,1030,358,0
163,2827514607301494,2019-09-17 09:03:47,1016,692,0
164,2827304517322503,2019-09-16 13:54:00,524,18,0
165,2819329878119967,2019-09-16 09:00:00,938,857,143
166,2827082210678067,2019-09-16 08:56:35,293,6,0
167,2819025461483742,2019-09-15 09:00:00,425,22,0
168,2771035719616050,2019-09-13 17:00:01,475,11,0
169,2819150808137874,2019-09-13 00:00:01,3472,118,0
170,2813354852050803,2019-09-12 17:00:01,589,16,0
171,2818835731502715,2019-09-12 12:00:01,7675,151,0
172,2817370091649279,2019-09-11 18:54:18,242,10,0
173,2815356498517305,2019-09-11 12:00:01,339,8,0
