,post_id,text,post_text,shared_text,time,image,likes,comments,shares,post_url,link
812,842259685921216,"小潔上星期天從澳門回台灣 🛫
經過一群美麗的島嶼 😆

大家猜猜這裡是哪裡呢？
#小潔貼心小提示：黑糖糕、仙人掌冰
#EVAAir #BR802 #MFM","小潔上星期天從澳門回台灣 🛫
經過一群美麗的島嶼 😆

大家猜猜這裡是哪裡呢？
#小潔貼心小提示：黑糖糕、仙人掌冰
#EVAAir #BR802 #MFM",,2017-07-05 17:00:00,https://scontent-tpe1-1.xx.fbcdn.net/v/t31.0-8/fr/cp0/e15/q65/19667819_842259685921216_964895695905668537_o.jpg?_nc_cat=110&_nc_sid=2d5d41&_nc_ohc=ZaYy7EZJvRcAX85YUlc&_nc_ht=scontent-tpe1-1.xx&_nc_tp=14&oh=ed4a272554a0d9c757bd4cbaf033c888&oe=5E93E690,1610,153,0,,
813,842124089268109,"【EVA Mobile APP系統升級維護】
EVA Mobile APP將於7/5(三)早上07:00至下午15:00(台北時間)進行系統升級，敬請使用長榮航空行動網 👉https://m.evaair.com。造成您的不便，敬請見諒！","【EVA Mobile APP系統升級維護】
EVA Mobile APP將於7/5(三)早上07:00至下午15:00(台北時間)進行系統升級，敬請使用長榮航空行動網 👉https://m.evaair.com。造成您的不便，敬請見諒！",,2017-07-05 09:20:19,https://scontent-tpe1-1.xx.fbcdn.net/v/t31.0-8/fr/cp0/e15/q65/19621080_842124089268109_4309265711967363321_o.jpg?_nc_cat=109&_nc_sid=2d5d41&_nc_ohc=O4Ww3OagWFEAX-jn3sD&_nc_ht=scontent-tpe1-1.xx&_nc_tp=14&oh=443eb2f3cfc2b2f6108ebe65a5920f40&oe=5E944275,313,3,0,,https://m.evaair.com/
814,841619712651880,"【#託運新規定 電子產品未關機將開罰】
大會報告～ 大會報告～
小潔提醒即將要出國的粉絲們！
根據 #國際民航組織 的最新通知，7月1日起，託運行李中含鋰電池的電子產品，必須在託運前關機，並做好保護措施。
日本已率先實施此政策，若違反的話，罰金將高達50萬日圓。

小潔給大家的幾點小叮嚀，粉絲們看仔細囉 😉
🔸託運電子產品請確實關機，不可處於休眠/睡眠模式
🔸保護措施上，可用衣物包好減少碰撞
🔸託運時，鋰電池必須裝置於電子產品中
🔸備用電池、行動電源請務必隨身攜帶上機，不可以託運
更多資訊請參考👉https://goo.gl/bLrBkA

#EVAAir #ICAO","【#託運新規定 電子產品未關機將開罰】
大會報告～ 大會報告～
小潔提醒即將要出國的粉絲們！
根據 #國際民航組織 的最新通知，7月1日起，託運行李中含鋰電池的電子產品，必須在託運前關機，並做好保護措施。
日本已率先實施此政策，若違反的話，罰金將高達50萬日圓。

小潔給大家的幾點小叮嚀，粉絲們看仔細囉 😉
🔸託運電子產品請確實關機，不可處於休眠/睡眠模式
🔸保護措施上，可用衣物包好減少碰撞
🔸託運時，鋰電池必須裝置於電子產品中
🔸備用電池、行動電源請務必隨身攜帶上機，不可以託運
更多資訊請參考👉https://goo.gl/bLrBkA

#EVAAir #ICAO",,2017-07-04 17:00:12,https://scontent-tpe1-1.xx.fbcdn.net/v/t31.0-8/fr/cp0/e15/q65/19693557_841619712651880_470153300840946737_o.jpg?_nc_cat=111&_nc_sid=2d5d41&_nc_ohc=sz1CgbDpXe8AX8uSOoR&_nc_ht=scontent-tpe1-1.xx&_nc_tp=14&oh=8c61da38f112e576bb98b341d0968540&oe=5E94483C,912,10,0,,https://goo.gl/bLrBkA
815,840805386066646,"【和 #藍色星期一 Say Bye Bye】
小潔覺得～～
在 #長榮航空 的字典裡，沒有 #BlueMonday 這個字！
望向窗外的夕陽就知道了😁

#EVAAir #EVAFanPhoto @James Hu","【和 #藍色星期一 Say Bye Bye】
小潔覺得～～
在 #長榮航空 的字典裡，沒有 #BlueMonday 這個字！
望向窗外的夕陽就知道了😁

#EVAAir #EVAFanPhoto @James Hu",,2017-07-03 17:00:00,https://scontent-tpe1-1.xx.fbcdn.net/v/t31.0-8/fr/cp0/e15/q65/19621173_840805386066646_1051949978029189809_o.jpg?_nc_cat=106&_nc_sid=2d5d41&_nc_ohc=oMa5LP9PFWUAX-QaogX&_nc_ht=scontent-tpe1-1.xx&_nc_tp=14&oh=c840c3556cf657b37d2b298940dcd11b&oe=5E938F97,924,12,0,,
816,840022439478274,"【#后冠氣勢 勢如破竹】
詠然與搭檔辛吉絲在伊斯特本網賽聯手拿下女雙冠軍！完成草地二連冠的佳績 👏
此次賽事是「辛然配」合作以來的第5座冠軍🏆
接下來，兩人將再攜手勇闖「年度第3項大滿貫」溫布頓錦標賽。
小潔預祝詠然與辛吉絲能維持后冠氣勢、打出亮眼成績 😘
#EVAAir
詹詠然 Latisha Chan
Martina Hingis","【#后冠氣勢 勢如破竹】
詠然與搭檔辛吉絲在伊斯特本網賽聯手拿下女雙冠軍！完成草地二連冠的佳績 👏
此次賽事是「辛然配」合作以來的第5座冠軍🏆
接下來，兩人將再攜手勇闖「年度第3項大滿貫」溫布頓錦標賽。
小潔預祝詠然與辛吉絲能維持后冠氣勢、打出亮眼成績 😘
#EVAAir
詹詠然 Latisha Chan
Martina Hingis",,2017-07-02 18:30:00,https://scontent-tpe1-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/19702368_840022049478313_1488144142346271027_n.jpg?_nc_cat=105&_nc_sid=8024bb&_nc_ohc=401umr2ZbnMAX8s9dbR&_nc_ht=scontent-tpe1-1.xx&_nc_tp=14&oh=855bf2205f7cc201cd347cd7ceeea100&oe=5E92BF91,536,0,0,https://m.facebook.com/story.php?story_fbid=840022439478274&id=143039229176602,
817,837817256365459,"【#粉絲的眼界 看見長榮航空夢想機】
這個暑假 🏖
歡迎 #搭乘長榮航空 與小潔抓住飛行途中的風景

周末愉快～♫
-----
#EVAAir #EVAFanPhoto @Hsu YeanHsin","【#粉絲的眼界 看見長榮航空夢想機】
這個暑假 🏖
歡迎 #搭乘長榮航空 與小潔抓住飛行途中的風景

周末愉快～♫
-----
#EVAAir #EVAFanPhoto @Hsu YeanHsin",,2017-06-30 17:00:00,https://scontent-tpe1-1.xx.fbcdn.net/v/t31.0-8/fr/cp0/e15/q65/19488646_837817256365459_142290516245871506_o.jpg?_nc_cat=101&_nc_sid=2d5d41&_nc_ohc=LDOxj9JXVBgAX8nxIu5&_nc_ht=scontent-tpe1-1.xx&_nc_tp=14&oh=2d3f47e4807087831acbf1e64936a456&oe=5E942814,1824,12,0,,
818,837155513098300,"【#暑假出國！ 旅行插座懶人包】
整理行李已經夠累了😶
如果到了國外... 才發現自己忘記帶轉接頭就麻煩了！！
小潔特別為粉絲們整理了各國的插座～
插頭們 都有他們自己的個性呢😊

#EVAAir #暑假到了 #英規和歐規怎麼這麼Q
I.IMGUR.COM
i.imgur.com","【#暑假出國！ 旅行插座懶人包】
整理行李已經夠累了😶
如果到了國外... 才發現自己忘記帶轉接頭就麻煩了！！
小潔特別為粉絲們整理了各國的插座～
插頭們 都有他們自己的個性呢😊

#EVAAir #暑假到了 #英規和歐規怎麼這麼Q","I.IMGUR.COM
i.imgur.com",2017-06-29 17:00:00,https://scontent-tpe1-1.xx.fbcdn.net/v/t45.1600-4/cp0/e15/q65/c0.114.480.252a/p480x480/19678229_6072541436469_358097141731688448_n.png.jpg?_nc_cat=102&_nc_sid=67cdda&_nc_ohc=GYycSYgZ9ogAX_ExhEY&_nc_ht=scontent-tpe1-1.xx&_nc_tp=5&oh=4adc6dcb118c712a2dc3afbb3f9a7e1e&oe=5E933D81,743,8,76,https://m.facebook.com/story.php?story_fbid=837155513098300&id=143039229176602,http://i.imgur.com/TzT167m.gif
819,836208283193023,"【說走就走！閨蜜們一起搭乘友誼機度假囉！】

長榮航空與三麗鷗合作的新塗裝彩繪機－「#友誼機」✈
今天開始首航台北─沖繩、大阪航線囉！

Hello Kitty的蝴蝶結象徵著友情 💞
小潔邀請粉絲一起搭上友誼機飛遍各地 👩‍❤️‍👩
結交世界各地的好朋友~🌎
-----
#EVAAir
#沖繩OKA
#大阪KIX
#長榮航空彩繪機家族
🛫長榮航空彩繪機網站：
https://goo.gl/foTNr2","【說走就走！閨蜜們一起搭乘友誼機度假囉！】

長榮航空與三麗鷗合作的新塗裝彩繪機－「#友誼機」✈
今天開始首航台北─沖繩、大阪航線囉！

Hello Kitty的蝴蝶結象徵著友情 💞
小潔邀請粉絲一起搭上友誼機飛遍各地 👩‍❤️‍👩
結交世界各地的好朋友~🌎
-----
#EVAAir
#沖繩OKA
#大阪KIX
#長榮航空彩繪機家族
🛫長榮航空彩繪機網站：
https://goo.gl/foTNr2",,2017-06-28 13:35:57,https://scontent-tpe1-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/19429919_836208046526380_5693300954719196857_n.jpg?_nc_cat=104&_nc_sid=8024bb&_nc_ohc=Nj_bBxtdCZgAX_KSVrB&_nc_ht=scontent-tpe1-1.xx&_nc_tp=14&oh=93a30545297456d37dfc118f78b1a791&oe=5E93F0E6,6313,208,0,https://m.facebook.com/story.php?story_fbid=836208283193023&id=143039229176602,https://goo.gl/foTNr2
820,835397486607436,"【☀暑假到了 就是要旅行啊～】
小潔每次搭上彩繪機，都覺得超級可愛～😍
#長榮航空彩繪機 讓你三個願望一次滿足！
--
✨機上免稅品✨
每季全新推出的獨家三麗鷗商品，有HARNN旅行組、粉漾收納包、吸油面紙，都可在EVA SKY SHOP網站預購、機上取貨，超方便～… More
🔍https://www.shopeva.com/

✨機上服務品✨
從枕頭到餐巾紙都能找到Hello Kitty的身影呢☺

✨日式京料理✨
日本航線限定！
前往東京或大阪的商務艙旅客，都能品嘗米其林主廚的特製料理～
🔍https://goo.gl/U6W39y

📌客艙產品與服務內容不定期更新，且因機隊、艙等與航線而有不同
#EVAAir #長榮航空彩繪機家族","【☀暑假到了 就是要旅行啊～】
小潔每次搭上彩繪機，都覺得超級可愛～😍
#長榮航空彩繪機 讓你三個願望一次滿足！
--
✨機上免稅品✨
每季全新推出的獨家三麗鷗商品，有HARNN旅行組、粉漾收納包、吸油面紙，都可在EVA SKY SHOP網站預購、機上取貨，超方便～… More
🔍https://www.shopeva.com/

✨機上服務品✨
從枕頭到餐巾紙都能找到Hello Kitty的身影呢☺

✨日式京料理✨
日本航線限定！
前往東京或大阪的商務艙旅客，都能品嘗米其林主廚的特製料理～
🔍https://goo.gl/U6W39y

📌客艙產品與服務內容不定期更新，且因機隊、艙等與航線而有不同
#EVAAir #長榮航空彩繪機家族",,2017-06-27 17:00:00,https://scontent-tpe1-1.xx.fbcdn.net/v/t31.0-8/fr/cp0/e15/q65/19467910_835397439940774_1976186721416716657_o.jpg?_nc_cat=105&_nc_sid=8024bb&_nc_ohc=b07EBVSaUeYAX_YXlgI&_nc_ht=scontent-tpe1-1.xx&_nc_tp=14&oh=aa58cafaa46336d9433e73f4e0cf065c&oe=5E93D6DE,2057,30,0,https://m.facebook.com/story.php?story_fbid=835397486607436&id=143039229176602,https://www.shopeva.com/
821,834496330030885,"【在 #暑假 與『#棉花糖』的趣味邂逅】
飛行途中的機窗外
與雲朵近距離的邂逅

小女孩好奇的發問：
『那些棉花糖可以吃嗎？』

#EVAAir #暑假到了 #暑假首選長榮
#EVAFanPhoto @Cassie Lin","【在 #暑假 與『#棉花糖』的趣味邂逅】
飛行途中的機窗外
與雲朵近距離的邂逅

小女孩好奇的發問：
『那些棉花糖可以吃嗎？』

#EVAAir #暑假到了 #暑假首選長榮
#EVAFanPhoto @Cassie Lin",,2017-06-26 17:00:00,https://scontent-tpe1-1.xx.fbcdn.net/v/t31.0-8/fr/cp0/e15/q65/19452808_834496330030885_1494396695842250764_o.jpg?_nc_cat=111&_nc_sid=2d5d41&_nc_ohc=9q1beXBBvloAX-5pKmg&_nc_ht=scontent-tpe1-1.xx&_nc_tp=14&oh=caa434862d7dc594ef8ee4db725d0f20&oe=5E93955F,595,8,0,,
