,key,value
0,長榮航空,0.21466991640784644
1,長榮,0.10962084231143697
2,小潔,0.09935976253993081
3,活動,0.09245131279277816
4,http,0.07507859357567369
5,機票,0.06197285802592822
6,粉絲,0.051914967952867735
7,優惠,0.048663932777737076
8,飛機,0.045108113054937914
9,EVAAir,0.04012996544301909
10,台灣,0.038402853006230926
11,服務,0.03728530966477976
12,機會,0.035964576624882935
13,機上,0.0355581972279916
14,Kitty,0.03332311054508927
15,Hello,0.03240875690208377
16,機場,0.03098642901296411
17,得獎者,0.03068164446529561
18,獲得,0.029564101123844444
19,航班,0.028358150081109618
20,旅客,0.02788045871096294
21,旅展,0.025703496853376785
22,出發,0.025297117456485455
23,EVA,0.024484358662702786
24,桃園,0.024077979265811456
25,台北,0.0240490556273844
26,BR,0.02387478956736579
27,2016,0.02387478956736579
28,旅遊,0.02357000501969729
29,搭乘,0.022895891390709352
30,2017,0.02265565137669179
31,航線,0.02235086682902329
32,彩繪機,0.02194448743213196
33,班機,0.021842892582909126
34,2015,0.021436513186017792
35,期間,0.020725349241457962
36,留言,0.02071922802421752
37,體驗,0.020623754392235127
38,飛行,0.020115780146120962
39,購票,0.020014185296898128
40,線上,0.019912590447675297
41,參加,0.018490262558555633
42,787,0.0180838831616643
43,即日起,0.01768873841950863
44,分享,0.016843136995662145
45,現場,0.016661555272544634
46,時間,0.01615358102643047
47,官網,0.016051986177207638
48,特別,0.016051986177207638
49,飛航,0.015645606780316304
50,網站,0.015340822232647804
51,東京,0.01452806343886514
52,會員,0.014324873740419474
53,國際,0.01422327889119664
54,報到,0.014020089192750974
55,旅行,0.013940623756569927
56,資訊,0.013613709795859642
57,設計,0.013512114946636808
58,大獎,0.013512114946636808
59,夢幻,0.013410520097413975
60,來回,0.013410520097413975
61,TWD,0.01320733039896831
62,粉絲團,0.01320733039896831
63,即將,0.01320733039896831
64,未稅,0.013105735549745475
65,經濟艙,0.013105735549745475
66,訊息,0.013004140700522642
67,手機,0.01290254585129981
68,相關,0.012800951002076975
69,休士頓,0.012800951002076975
70,實際,0.01259776130363131
71,照片,0.012380371877069286
72,這裡,0.01229297675596281
73,2018,0.012191381906739978
74,準備,0.012191381906739978
75,商務,0.012191381906739978
76,全球,0.012122744924610055
77,星空聯盟,0.012089787057517145
78,得獎,0.01168340766062581
79,航點,0.011581812811402978
80,旅程,0.011483760122631746
81,好康,0.011480217962180145
82,邀請,0.011480217962180145
83,航空,0.011154519335114684
84,桂冠,0.01114177927518777
85,星空,0.011011630870665926
86,美國,0.010870648866843146
87,無限萬哩遊,0.010870648866843146
88,詳情,0.01066745916839748
89,景點,0.01066745916839748
90,獨家,0.010565864319174646
91,幸運,0.010464269469951814
92,開始,0.010464269469951814
93,出國,0.010362674620728981
94,登機,0.010362674620728981
95,可愛,0.010362674620728981
96,最後,0.010159484922283314
97,美麗,0.010057890073060481
98,提供,0.010031421659302972
99,立榮航空,0.009956295223837648
100,EVAAIR,0.009956295223837648
101,2014,0.009956295223837648
102,航空公司,0.009695138017551053
103,朋友,0.009639920164449695
104,詳細,0.009549915826946316
105,哩程,0.009549915826946316
106,影響,0.009549915826946316
107,歡迎,0.009448320977723482
108,免費,0.009448320977723482
109,抽獎,0.009346726128500649
110,蛋黃,0.009245131279277816
111,夢幻客機,0.009143536430054984
112,世界,0.009056413007105234
113,APP,0.00904194158083215
114,網路,0.00904194158083215
115,電話,0.00904194158083215
116,預購,0.008940346731609317
117,未來,0.008940346731609317
118,8月,0.008940346731609317
119,777,0.008838751882386484
120,亞運,0.008838751882386484
121,最佳,0.008786796138164289
122,前往,0.00877933476359069
123,透過,0.008737157033163651
124,日本,0.008678888437259138
125,9月,0.008635562183940817
126,安全,0.008576830244691046
127,香港,0.008544977449661343
128,舒適,0.008533967334717984
129,驚喜,0.008533967334717984
130,餐點,0.008533967334717984
131,次數,0.008533967334717984
132,颱風,0.008432372485495152
133,行程,0.00838866665115653
134,影片,0.008362008849367305
135,土耳其,0.008334627185636902
136,企鵝,0.008330777636272317
137,社會,0.008330777636272317
138,沖繩,0.008330777636272317
139,感謝,0.008330777636272317
140,這個,0.008330777636272317
141,夢想,0.008229182787049484
142,皇璽,0.008229182787049484
143,歡樂,0.008127587937826652
144,之旅,0.008102219085215558
145,寄送,0.008056188007602553
146,波音,0.007955356966030712
147,可以,0.007953249656472029
148,企業,0.007924398239380985
149,環遊世界,0.007924398239380985
